#points 40
#t[s] lat long ADCdruck ADCdruck_stddev temp temp_stdev temp_records
52040.1025 51.7167898965921 9.96383000000047 1763.7 5.96741149912335 18.36498 0.162562143808674 20.0
52040.3025 51.7167898965921 9.96383000000047 1772.325 7.32593850643424 18.33467 0.262314477488155 20.0
52040.5025 51.7167898965921 9.96383000000047 1787.85 7.50516488830166 18.55884 0.640437912213229 20.0
52040.7025 51.7167898965921 9.96383000000047 1801.025 4.77748626370092 18.14686 0.222084712215642 20.0
52040.9025 51.7167898965921 9.96383000000047 1817.15 23.2889995491322 18.152925 0.152662549024881 20.0
52041.1025 51.7167898965921 9.96383000000047 1832.35 5.10661335922312 18.177165 0.189556063672021 20.0
52041.3025 51.7167898965921 9.96383000000047 1845.55 6.70055967814842 18.189275 0.263977294241241 20.0
52041.5025 51.7167898965921 9.96383000000047 1861.65 15.8090954832893 18.2168777777778 0.339237095972566 18.0
52041.7025 51.7167898965921 9.96383000000047 1869.475 6.10322660566773 18.23169 0.265163658708762 20.0
52041.9025 51.7167898965921 9.96383000000047 1878.375 6.79222901556675 18.25592 0.238965178635014 20.0
52042.1025 51.7167898965921 9.96383000000047 1884.2 5.82752091373019 18.134745 0.242012957245607 20.0
52042.3025 51.7167898965921 9.96383000000047 1890.325 6.15380979554751 18.225625 0.435628156659907 20.0
52042.5025 51.7167898965921 9.96383000000047 1899.075 5.33098255480078 18.068105 0.129780061931478 20.0
52042.7025 51.7167898965921 9.96383000000047 1909.025 7.38067578201971 17.922725 0.20729545550961 20.0
52042.9025 51.7167898965921 9.96383000000047 1915.6 15.0029997000705 17.753105 0.140629415397906 20.0
52043.1025 51.7167898965921 9.96383000000047 1923.8 5.49636243346113 17.76524 0.228182839845795 20.0
52043.3025 51.7167898965921 9.96383000000047 1939.825 7.10945673030337 17.8375823529412 0.520596469260458 17.0
52043.5025 51.7167898965921 9.96383000000047 1944.85 5.80323185825702 17.71678 0.227548288501263 20.0
52043.7025 51.7167898965921 9.96383000000047 1949.125 5.97991429703695 17.625905 0.242005447201457 20.0
52043.9025 51.7167898965921 9.96383000000047 1951.6 23.0724944468585 17.52293 0.214942399493848 20.0
52044.1025 51.7167898965921 9.96383000000047 1958.025 5.35484593615392 17.66831 0.187206295033193 20.0
52044.3025 51.7167898965921 9.96383000000047 1965.325 5.73318192627589 17.583505 0.287899234932891 20.0
52044.5025 51.7167898965921 9.96383000000047 1971.9 5.81721582888679 17.5411 0.193837501531484 20.0
52044.7025 51.7167898965921 9.96383000000047 1970.6 5.13711981562922 17.4563 0.129280642187817 18.0
52044.9025 51.7167898965921 9.96383000000047 1969.4 5.60267793110265 17.668305 0.191083804847987 20.0
52045.1025 51.7167898965921 9.96383000000047 1971.9 5.467174773104 17.68042 0.266188503884337 20.0
52045.3025 51.7167898965921 9.96383000000047 1973.125 5.20666639991463 17.8484578947368 0.586790595048773 19.0
52045.5025 51.7167898965921 9.96383000000047 1976.2 5.57314991720035 17.547165 0.202271585436685 20.0
52045.7025 51.7167898965921 9.96383000000047 1981.625 7.53885767209417 17.5296263157895 0.211290737193154 19.0
52045.9025 51.7167898965921 9.96383000000047 1992.325 6.36548309240417 17.413895 0.188766054879984 20.0
52046.1025 51.7167898965921 9.96383000000047 2003.95 6.20463536398843 17.177665 0.317300947485157 20.0
52046.3025 51.7167898965921 9.96383000000047 2013.925 8.30779001902124 17.22006 0.23763748525819 20.0
52046.5025 51.7167898965921 9.96383000000047 2023.1 6.20403094775398 17.22005 0.189538005423782 20.0
52046.7025 51.7167898965921 9.96383000000047 2035.825 7.52624574407114 16.80211 0.250905800849637 20.0
52046.9025 51.7167898965921 9.96383000000047 2049.825 5.01939986452193 16.511395 0.203049807867123 20.0
52047.1025 51.7167898965921 9.96383000000047 2052.9 5.26212884671959 16.5859947368421 0.15249005307878 19.0
